model,n_flowers,pipeline
Mitwelten Pipeline (Hailo),10,0.2494368553161621
Mitwelten Pipeline (Hailo),16,0.23529767990112305
Mitwelten Pipeline (Hailo),11,0.1688065528869629
Mitwelten Pipeline (Hailo),13,0.2078397274017334
Mitwelten Pipeline (Hailo),0,0.018105506896972656
Mitwelten Pipeline (Hailo),5,0.08523368835449219
Mitwelten Pipeline (Hailo),1,0.03349804878234863
Mitwelten Pipeline (Hailo),3,0.06350350379943848
Mitwelten Pipeline (Hailo),2,0.045243024826049805
Mitwelten Pipeline (Hailo),2,0.04590344429016113
Mitwelten Pipeline (Hailo),2,0.046922922134399414
Mitwelten Pipeline (Hailo),2,0.045717716217041016
Mitwelten Pipeline (Hailo),3,0.059136390686035156
Mitwelten Pipeline (Hailo),4,0.07333230972290039
Mitwelten Pipeline (Hailo),1,0.03614377975463867
Mitwelten Pipeline (Hailo),2,0.04628396034240723
Mitwelten Pipeline (Hailo),0,0.01890873908996582
Mitwelten Pipeline (Hailo),7,0.11618232727050781
Mitwelten Pipeline (Hailo),8,0.13327884674072266
Mitwelten Pipeline (Hailo),5,0.08508872985839844

Mitwelten Pipeline (NCNN),28,6.357255935668945
Mitwelten Pipeline (NCNN),25,5.98572039604187
Mitwelten Pipeline (NCNN),23,5.270481586456299
Mitwelten Pipeline (NCNN),23,5.209919452667236
Mitwelten Pipeline (NCNN),26,5.895514249801636
Mitwelten Pipeline (NCNN),24,5.463294506072998
Mitwelten Pipeline (NCNN),24,5.437429666519165
Mitwelten Pipeline (NCNN),4,1.1790382862091064
Mitwelten Pipeline (NCNN),23,5.320310354232788
Mitwelten Pipeline (NCNN),23,5.225397348403931
Mitwelten Pipeline (NCNN),21,4.799821853637695
Mitwelten Pipeline (NCNN),15,3.4824929237365723
Mitwelten Pipeline (NCNN),10,2.491664171218872
Mitwelten Pipeline (NCNN),11,2.6781036853790283
Mitwelten Pipeline (NCNN),10,2.4592952728271484
Mitwelten Pipeline (NCNN),9,2.248321771621704
Mitwelten Pipeline (NCNN),27,6.110311508178711
Mitwelten Pipeline (NCNN),17,3.9966487884521484
Mitwelten Pipeline (NCNN),24,5.431175708770752
Mitwelten Pipeline (NCNN),21,4.811571836471558

Mitwelten Pipeline (ONNX),27,12.16896915435791
Mitwelten Pipeline (ONNX),10,4.683638095855713
Mitwelten Pipeline (ONNX),11,5.181034326553345
Mitwelten Pipeline (ONNX),10,4.673429250717163
Mitwelten Pipeline (ONNX),9,4.234992742538452
Mitwelten Pipeline (ONNX),27,12.12279486656189
Mitwelten Pipeline (ONNX),16,7.306091070175171
Mitwelten Pipeline (ONNX),23,10.386038541793823
Mitwelten Pipeline (ONNX),21,9.494831323623657
Mitwelten Pipeline (ONNX),25,11.270245790481567
Mitwelten Pipeline (ONNX),24,10.841588497161865
Mitwelten Pipeline (ONNX),23,10.36626124382019
Mitwelten Pipeline (ONNX),23,10.407667636871338
Mitwelten Pipeline (ONNX),26,11.7807936668396
Mitwelten Pipeline (ONNX),24,10.815633058547974
Mitwelten Pipeline (ONNX),25,11.312095165252686
Mitwelten Pipeline (ONNX),4,2.0511281490325928
Mitwelten Pipeline (ONNX),24,10.866673707962036
Mitwelten Pipeline (ONNX),21,9.525362968444824
Mitwelten Pipeline (ONNX),20,9.061827898025513
Mitwelten Pipeline (ONNX),18,8.190034866333008
Mitwelten Pipeline (ONNX),10,4.679105281829834
Mitwelten Pipeline (ONNX),11,5.109760761260986
Mitwelten Pipeline (ONNX),10,4.673546552658081
Mitwelten Pipeline (ONNX),9,4.2770676612854
