flower_inference,pollinator_inference,n_flowers,pipeline,threads,batch_size
0.2836533840163611,3.8011619150056504,27,4.095344625995494,4,1
0.26206239900784567,3.7485426610219292,27,4.011061592027545,4,1
0.2553627689485438,1.2530583110055886,9,1.5088569829822518,4,1
0.2552289550076239,1.5307720300043002,11,1.78644155402435,4,1
0.2557832259917632,3.904431528004352,28,4.160636286018416,4,1
0.25682271301047876,3.515860426996369,25,3.773102856997866,4,1
0.25996573100565,3.6226820669835433,26,3.8830644419649616,4,1
0.3038129999767989,0.6996005849796347,5,1.0037001929595135,4,1
0.26243607205105945,2.5160330749931745,18,2.7789272160152905,4,1
0.26115103100892156,3.2029368759831414,23,3.464476014021784,4,1
0.2622903680312447,2.8169175969669595,20,3.0795950540341437,4,1
0.2595411009970121,3.339977740019094,24,3.5999102069763467,4,1
0.25816424400545657,3.903669696999714,28,4.162226121989079,4,1
0.25731941900448874,1.2643493979703635,9,1.522052517044358,4,1
0.25588232302106917,3.644943115010392,26,3.9012080440297723,4,1
0.2604917520075105,3.24650249799015,23,3.5073814680217765,4,1
0.2609697270090692,2.9218561360030435,21,3.1832150620175526,4,1
0.2568985120160505,3.348117827961687,24,3.605375687999185,4,1
0.2562210179748945,1.3978551320033148,10,1.654463202052284,4,1
0.25838254898553714,2.2323310900246724,16,2.4911031149677,4,1

0.3832828410086222,9.357229187036864,27,9.75105945696123,1,1
0.35773994599003345,9.082638854975812,27,9.440819907991681,1,1
0.35139794897986576,3.0262893509934656,9,3.37809707300039,1,1
0.35124691401142627,3.697675461997278,11,4.049341019010171,1,1
0.3517190939746797,9.430167287995573,28,9.782288579968736,1,1
0.35340690601151437,8.414078337023966,25,8.767882813001052,1,1
0.35591258003842086,8.75760942301713,26,9.113922276999801,1,1
0.39852304803207517,1.684232811036054,5,2.083024893014226,1,1
0.35744719102513045,6.059220840979833,18,6.417100897990167,1,1
0.35518192301969975,7.740951796004083,23,8.096501529042143,1,1
0.357538802025374,6.729125457000919,20,7.087028661975637,1,1
0.3547086519538425,8.07371021102881,24,8.428783951036166,1,1
0.3533792389789596,9.430709873035084,28,9.784459293994587,1,1
0.3543750930111855,3.0278137900168076,9,3.382549824018497,1,1
0.3493489970569499,8.749885992030613,26,9.099600041052327,1,1
0.35512687294976786,7.745085507049225,23,8.100574042997323,1,1
0.35525147803127766,7.066107310005464,21,7.4217252469970845,1,1
0.3511987590463832,8.08546601398848,24,8.437032694986556,1,1
0.35267140401992947,3.3652603600057773,10,3.7182941120117903,1,1
0.3522331470157951,5.384241406980436,16,5.736851217050571,1,1
