model,framework,time
yolov8n,tflite,1.1854276657104492
yolov8n,tflite,1.148956036567688
yolov8s,tflite,3.5258934020996096
yolov8m,tflite,9.448409748077392
yolov8n,onnx,0.5537914037704468
yolov8s,onnx,1.3823275089263916
yolov8m,onnx,3.5051235437393187
yolov8n,ncnn,0.41816737651824953
yolov8s,ncnn,0.93880136013031
yolov8m,ncnn,2.3540940284729004
yolov5nu,tflite,1.0498027086257935
yolov5su,tflite,3.023893117904663
yolov5mu,tflite,7.8580790758132935
yolov5nu,onnx,0.5170894145965577
yolov5su,onnx,1.2381765842437744
yolov5mu,onnx,2.85742826461792
yolov5nu,ncnn,0.39844546318054197
yolov5su,ncnn,0.8117211580276489
yolov5mu,ncnn,2.071593165397644
